мочь	yes	Imp
становиться	yes	Perf
говорить	yes	Imp
делать	no	Perf
получать	yes	Perf
считать	yes	Imp
давать	yes	Imp
начинать	yes	Perf
идти	yes	Imp
оказываться	yes	Perf
оставаться	no	Imp
видеть	yes	Imp
являться	yes	Imp
понимать	yes	Imp
принимать	yes	Perf
происходить	yes	Imp
называть	yes	Imp
создавать	yes	Perf
проходить	yes	Perf
проводить	no	Imp
использовать	yes	Imp
решать	yes	Perf
брать	yes	Perf
приходить	yes	Perf
позволять	yes	Imp
приходиться	yes	Perf
находиться	yes	Imp
выходить	yes	Perf
писать	yes	Imp
появляться	yes	Perf
представлять	yes	Imp
приводить	yes	Perf
сообщать	yes	Perf
находить	yes	Perf
составлять	yes	Imp
казаться	yes	Imp
предлагать	no	Perf
показывать	yes	Perf
заявлять	yes	Perf
смотреть	yes	Imp
связывать	yes	Perf
ставить	yes	Perf
начинаться	yes	Perf
вызывать	no	Imp
удаваться	yes	Perf
отмечать	yes	Perf
возникать	yes	Imp
определять	no	Imp
пытаться	yes	Imp
следовать	yes	Imp
заниматься	yes	Imp
уходить	no	Perf
рассказывать	no	Imp
отвечать	no	Imp
занимать	no	Perf
помогать	yes	Perf
входить	yes	Imp
обеспечивать	no	Perf
строить	no	Perf
требовать	yes	Imp
выступать	yes	Imp
продолжать	yes	Imp
достигать	yes	Perf
устанавливать	yes	Perf
открывать	yes	Perf
получаться	yes	Imp
отказываться	yes	Perf
попадать	yes	Perf
объяснять	no	Imp
замечать	yes	Perf
передавать	no	Imp
поддерживать	yes	Imp
выполнять	no	Imp
вспоминать	yes	Perf
утверждать	yes	Imp
относиться	yes	Imp
признавать	yes	Perf
разрабатывать	yes	Perf
поступать	no	Imp
пользоваться	yes	Imp
напоминать	no	Imp
обнаруживать	yes	Perf
падать	no	Perf
спрашивать	yes	Perf
платить	yes	Imp
оставлять	yes	Perf
покупать	yes	Perf
касаться	yes	Imp
терять	no	Perf
выбирать	no	Perf
собирать	yes	Perf
предполагать	yes	Imp
собираться	yes	Imp
направлять	yes	Perf
производить	yes	Imp
оценивать	no	Perf
снимать	no	Imp
изучать	yes	Imp
обсуждать	yes	Imp
переходить	no	Perf
ходить	yes	Imp
погибать	yes	Perf
планировать	yes	Imp
забывать	yes	Perf
складываться	yes	Perf
осуществлять	yes	Imp
объявлять	yes	Perf
умирать	yes	Perf
слышать	yes	Imp
доказывать	yes	Perf
добиваться	yes	Perf
рассматривать	yes	Imp
применять	yes	Imp
служить	yes	Imp
вводить	yes	Perf
учитывать	yes	Imp
совершать	yes	Perf
развиваться	yes	Imp
обращаться	no	Perf
хватать	yes	Imp
требоваться	yes	Imp
узнавать	yes	Perf
выделять	no	Perf
случаться	yes	Perf
полагать	yes	Imp
менять	yes	Imp
закрывать	yes	Perf
организовывать	yes	Perf
рассчитывать	yes	Imp
включать	yes	Imp
уметь	no	Imp
сохранять	yes	Perf
отдавать	yes	Perf
изменять	yes	Perf
читать	yes	Imp
означать	yes	Imp
изменяться	yes	Perf
устраивать	yes	Perf
желать	yes	Imp
запрещать	yes	Perf
подтверждать	yes	Perf
повышать	yes	Perf
просить	no	Imp
описывать	yes	Perf
встречаться	yes	Imp
заставлять	no	Imp
успевать	yes	Perf
приобретать	yes	Perf
приезжать	yes	Perf
приносить	no	Perf
защищать	no	Imp
окружать	yes	Imp
подходить	no	Perf
соглашаться	yes	Perf
допускать	yes	Perf
вырастать	yes	Perf
подниматься	no	Perf
подчеркивать	yes	Perf
отличаться	yes	Imp
сохраняться	yes	Perf
привлекать	yes	Perf
добавлять	yes	Perf
превращаться	no	Perf
воспринимать	yes	Imp
влиять	yes	Imp
рождаться	yes	Perf
называться	yes	Imp
страдать	no	Imp
исключать	no	Perf
поднимать	yes	Perf
увеличивать	yes	Perf
меняться	yes	Imp
подавать	no	Perf
обходиться	yes	Perf
обращать	no	Perf
выпускать	no	Perf
стараться	yes	Imp
бежать	yes	Imp
указывать	no	Perf
исчезать	no	Perf
предоставлять	no	Perf
продавать	no	Imp
задавать	no	Perf
развивать	no	Imp
убивать	yes	Perf
оказывать	yes	Imp
сдавать	no	Imp
снижать	no	Perf
проверять	yes	Perf
выдавать	yes	Imp
выражать	yes	Perf
демонстрировать	yes	Imp
выводить	no	Perf
предусматривать	no	Imp
тратить	no	Imp
объединять	yes	Perf
наступать	no	Perf
лишать	yes	Perf
ограничивать	yes	Perf
превышать	yes	Imp
вставать	yes	Perf
сталкиваться	no	Imp
продолжаться	yes	Imp
отправлять	yes	Perf
посвящать	yes	Perf
мешать	yes	Imp
упоминать	no	Perf
встречать	yes	Perf
бросать	yes	Perf
вступать	no	Perf
призывать	no	Perf
переставать	yes	Perf
основывать	yes	Perf
возвращаться	yes	Imp
придумывать	yes	Perf
испытывать	yes	Imp
спасать	yes	Perf
назначать	yes	Perf
возглавлять	yes	Imp
зарабатывать	no	Perf
разрешать	yes	Perf
наносить	no	Perf
заменять	yes	Perf
подготавливать	yes	Perf
выигрывать	yes	Perf
отправляться	yes	Perf
увеличиваться	no	Perf
вносить	yes	Perf
избирать	yes	Perf
порождать	no	Perf
заканчиваться	yes	Perf
прибывать	yes	Perf
подписывать	yes	Perf
выясняться	yes	Perf
переводить	yes	Perf
останавливаться	yes	Perf
набирать	no	Perf
вкладывать	no	Imp
переносить	no	Perf
вынуждать	yes	Perf
звучать	yes	Imp
повторять	no	Imp
прекращать	yes	Perf
исходить	yes	Imp
ощущать	yes	Imp
образовываться	no	Imp
разделять	no	Perf
превращать	no	Perf
высказывать	yes	Perf
избегать	yes	Perf
переживать	no	Perf
отменять	yes	Perf
фиксировать	yes	Perf
возрастать	no	Perf
задерживать	yes	Perf
доходить	yes	Perf
уезжать	yes	Perf
предпринимать	no	Perf
реализовать	yes	Imp
приглашать	yes	Perf
пробовать	yes	Perf
снижаться	no	Imp
останавливать	yes	Perf
запускать	no	Perf
разбираться	yes	Perf
класть	yes	Perf
уничтожать	yes	Perf
покидать	yes	Perf
скрывать	no	Imp
сравнивать	no	Perf
закладывать	yes	Perf
поражать	no	Perf
обещать	yes	Imp
обвинять	no	Imp
пояснять	yes	Perf
доставлять	yes	Perf
завершать	yes	Perf
восстанавливать	yes	Perf
осознавать	no	Perf
представляться	yes	Imp
проявлять	no	Perf
справляться	no	Perf
записывать	no	Perf
преодолевать	no	Perf
контролировать	yes	Imp
привыкать	yes	Perf
опираться	yes	Imp
побеждать	yes	Perf
сокращать	yes	Perf
исследовать	yes	Imp
браться	yes	Perf
научаться	yes	Perf
освобождать	yes	Perf
регистрировать	yes	Perf
выдвигать	yes	Perf
удивляться	yes	Imp
привозить	yes	Perf
захватывать	yes	Perf
нарушать	no	Imp
изготовлять	no	Perf
убеждать	yes	Perf
посылать	yes	Perf
пускать	no	Perf
выявлять	yes	Perf
сокращаться	yes	Perf
делиться	no	Imp
задумываться	yes	Perf
разрушать	yes	Perf
заходить	yes	Perf
усиливать	yes	Perf
проживать	no	Imp
вооружать	yes	Perf
выяснять	yes	Perf
образовывать	yes	Imp
заключать	yes	Perf
садиться	yes	Perf
договариваться	yes	Perf
грозить	yes	Imp
произносить	no	Perf
извлекать	no	Perf
издавать	no	Perf
финансировать	yes	Imp
формулировать	yes	Perf
ложиться	yes	Perf
голосовать	yes	Imp
отставать	yes	Imp
отвергать	yes	Perf
открываться	no	Perf
анализировать	no	Perf
предпочитать	yes	Imp
сказываться	no	Perf
заканчивать	yes	Perf
звонить	no	Perf
приближаться	no	Imp
выдерживать	no	Perf
рекомендовать	yes	Imp
посещать	yes	Perf
создаваться	yes	Imp
реагировать	yes	Imp
отражать	no	Imp
предъявлять	yes	Perf
выносить	no	Perf
возбуждать	no	Perf
звать	yes	Imp
ссылаться	yes	Imp
везти	no	Perf
распространять	no	Perf
оправдывать	yes	Perf
кончаться	yes	Perf
доставаться	yes	Perf
относить	no	Perf
соединять	yes	Perf
комментировать	yes	Imp
арестовывать	yes	Perf
пропадать	yes	Perf
длиться	yes	Imp
оплачивать	yes	Imp
накапливать	yes	Perf
исполнять	yes	Imp
подбирать	no	Perf
расширять	yes	Perf
проявляться	yes	Imp
уменьшать	yes	Perf
изображать	no	Imp
отражаться	no	Imp
уменьшаться	no	Imp
заполнять	no	Perf
спорить	yes	Imp
измерять	yes	Imp
выживать	yes	Perf
опровергать	yes	Perf
излагать	no	Imp
настаивать	yes	Imp
обозначать	no	Perf
располагать	no	Imp
сходить	yes	Perf
признаваться	no	Perf
регулировать	yes	Imp
улучшать	yes	Perf
убирать	yes	Perf
распространяться	yes	Imp
удерживать	yes	Imp
доводить	yes	Perf
рисовать	no	Imp
приступать	yes	Perf
сводиться	yes	Imp
дорожать	no	Perf
констатировать	yes	Imp
выстраивать	no	Perf
протекать	yes	Imp
проигрывать	yes	Perf
прощать	yes	Perf
решаться	no	Perf
налаживать	yes	Perf
закреплять	yes	Perf
подводить	no	Perf
подвергать	no	Imp
осваивать	no	Perf
откладывать	yes	Perf
надевать	no	Imp
придавать	yes	Imp
предупреждать	no	Imp
подвергаться	no	Imp
облегчать	yes	Perf
покрывать	no	Imp
затрагивать	no	Imp
располагаться	yes	Imp
удовлетворять	yes	Perf
уставать	yes	Perf
заслуживать	no	Imp
отстаивать	yes	Imp
стимулировать	yes	Imp
выставлять	yes	Perf
проникать	no	Imp
осуществляться	yes	Imp
скрываться	no	Perf
жалеть	no	Imp
сажать	yes	Perf
разбирать	no	Imp
убеждаться	yes	Perf
гарантировать	no	Imp
высказываться	yes	Perf
оборачиваться	no	Perf
отводить	no	Perf
размещать	yes	Perf
обходить	yes	Perf
ориентировать	yes	Perf
жаловаться	yes	Imp
опрашивать	yes	Perf
тянуть	yes	Imp
предназначать	yes	Perf
забивать	yes	Perf
нарастать	yes	Imp
избавляться	yes	Perf
уточнять	yes	Perf
обусловливать	yes	Perf
добывать	yes	Imp
советовать	no	Imp
выпадать	no	Imp
заботиться	yes	Imp
вручать	yes	Perf
просыпаться	yes	Perf
добираться	yes	Perf
догадываться	no	Perf
запоминать	yes	Perf
делить	yes	Imp
уделять	no	Imp
отпускать	no	Perf
сжигать	yes	Perf
ломать	no	Perf
догонять	no	Perf
обретать	no	Perf
соблюдать	yes	Imp
доверять	yes	Imp
лишаться	yes	Perf
обижать	no	Perf
перечислять	yes	Perf
предотвращать	yes	Perf
расстреливать	yes	Perf
кормить	yes	Imp
восходить	yes	Imp
выражаться	no	Imp
совпадать	no	Imp
сводить	no	Perf
охватывать	no	Perf
обслуживать	yes	Imp
доставать	no	Perf
улыбаться	yes	Imp
ошибаться	no	Perf
подрывать	no	Perf
компенсировать	yes	Imp
отбирать	no	Perf
наводить	no	Perf
пропускать	no	Perf
изобретать	yes	Perf
отрабатывать	no	Perf
обрабатывать	yes	Imp
удивлять	yes	Perf
трогать	no	Imp
сбрасывать	no	Imp
дожидаться	yes	Perf
отходить	no	Perf
устранять	yes	Perf
распадаться	yes	Imp
срабатывать	no	Perf
бросаться	no	Imp
усиливаться	no	Imp
обязывать	yes	Perf
выезжать	no	Perf
внедрять	no	Imp
развертываться	no	Imp
знакомиться	yes	Perf
осуждать	no	Perf
вырабатывать	no	Perf
возвращать	yes	Imp
уступать	yes	Imp
сменять	yes	Perf
отличать	no	Imp
дарить	no	Perf
оснащать	yes	Perf
замерзать	no	Perf
раскрывать	no	Perf
выплачивать	no	Imp
поставлять	no	Imp
экономить	no	Perf
заводить	yes	Perf
предсказывать	no	Perf
ударять	yes	Perf
освещать	no	Perf
складывать	no	Perf
опережать	no	Perf
ограничиваться	no	Perf
вылетать	no	Perf
заказывать	no	Perf
завоевывать	yes	Perf
отнимать	no	Perf
уверять	yes	Imp
ранить	yes	Imp
подсчитывать	yes	Perf
ускорять	yes	Perf
снабжать	no	Perf
населять	yes	Perf
завершаться	yes	Perf
съедать	no	Perf
ликвидировать	yes	Imp
пересматривать	yes	Perf
рождать	no	Imp
прибегать	no	Imp
разбивать	yes	Perf
расходовать	no	Imp
покорять	yes	Perf
превосходить	no	Imp
заглядывать	yes	Perf
изымать	no	Perf
расплачиваться	yes	Imp
прочитывать	yes	Perf
одобрять	yes	Perf
прикрывать	no	Perf
препятствовать	yes	Imp
очищать	no	Perf
забирать	yes	Imp
прогнозировать	yes	Imp
блокировать	no	Perf
подавлять	no	Imp
хоронить	yes	Perf
приостанавливать	yes	Perf
выбрасывать	no	Imp
обманывать	yes	Perf
преподавать	yes	Imp
награждать	yes	Perf
пробивать	no	Perf
обучать	no	Imp
вовлекать	yes	Perf
опускаться	no	Perf
спускаться	no	Imp
развертывать	yes	Perf
опускать	no	Perf
задумывать	yes	Perf
присылать	yes	Perf
выпивать	yes	Perf
отдыхать	yes	Imp
помещать	yes	Perf
отделять	no	Perf
выращивать	no	Perf
совершенствовать	no	Imp
влечь	no	Imp
воспроизводить	yes	Imp
жениться	yes	Imp
протягивать	no	Perf
взглядывать	yes	Perf
прыгать	yes	Imp
нападать	no	Imp
успокаивать	no	Imp
игнорировать	yes	Imp
прятаться	no	Imp
укреплять	no	Perf
сходиться	no	Imp
диктовать	yes	Imp
интересоваться	no	Imp
прерывать	yes	Perf
согласовывать	yes	Perf
разгонять	yes	Imp
присоединяться	yes	Perf
отыскивать	yes	Perf
отказывать	no	Perf
исчерпывать	yes	Perf
докладывать	no	Perf
сжимать	yes	Perf
оканчивать	yes	Perf
впадать	no	Imp
поручать	yes	Perf
накапливаться	no	Perf
озвучивать	no	Imp
отрываться	no	Perf
расходиться	no	Imp
засыпать	no	Perf
задействовать	no	Perf
устаревать	yes	Perf
навязывать	no	Imp
закупать	no	Perf
характеризовать	no	Imp
выбивать	no	Perf
вытеснять	no	Imp
просматривать	yes	Imp
повторяться	no	Perf
полагаться	yes	Imp
увольнять	yes	Perf
увлекаться	no	Imp
поворачивать	no	Perf
отступать	no	Imp
ориентироваться	yes	Imp
поддаваться	yes	Imp
проезжать	no	Perf
приписывать	yes	Imp
продвигать	yes	Imp
возводить	no	Perf
провоцировать	no	Imp
деваться	yes	Perf
расставаться	no	Imp
пролетать	no	Perf
поворачиваться	no	Imp
резать	yes	Imp
упускать	yes	Perf
утрачивать	yes	Perf
печатать	no	Imp
провозглашать	no	Perf
прекращаться	no	Perf
вывозить	no	Imp
исправлять	no	Perf
забрасывать	yes	Perf
заливать	no	Perf
обнаруживаться	yes	Perf
делаться	no	Imp
вздыхать	no	Perf
воображать	no	Perf
раздавать	no	Imp
наказывать	no	Perf
лопаться	yes	Perf
обосновывать	yes	Perf
вытекать	yes	Imp
распоряжаться	yes	Imp
укладываться	yes	Imp
востребовать	yes	Perf
разрушаться	no	Imp
настраивать	yes	Perf
применяться	yes	Imp
расширяться	yes	Imp
повышаться	no	Imp
оглядываться	no	Perf
различать	yes	Imp
продвигаться	no	Perf
возражать	no	Perf
определяться	yes	Perf
шутить	no	Imp
объединяться	yes	Perf
имитировать	yes	Imp
упрощать	yes	Perf
конструировать	no	Imp
сосредоточивать	yes	Perf
приказывать	yes	Perf
нагревать	no	Imp
разрывать	yes	Perf
наполнять	no	Perf
поглощать	no	Imp
квалифицировать	no	Perf
оформлять	no	Perf
срывать	no	Perf
выбираться	yes	Perf
спускать	no	Imp
оккупировать	yes	Perf
накладывать	no	Imp
улучшаться	no	Perf
инициировать	no	Imp
перемещать	no	Imp
грабить	no	Perf
разъяснять	no	Perf
прослеживать	no	Perf
насчитывать	no	Imp
учреждать	yes	Perf
предписывать	no	Perf
подчиняться	yes	Imp
кончать	no	Imp
доводиться	no	Perf
копировать	yes	Imp
видеться	yes	Imp
прописывать	yes	Perf
вмешиваться	yes	Imp
выслушивать	yes	Perf
возрождать	yes	Perf
совмещать	no	Imp
намечать	yes	Perf
обостряться	no	Perf
замораживать	yes	Perf
информировать	yes	Perf
утверждаться	no	Perf
приспосабливать	yes	Perf
вскрывать	no	Perf
запирать	yes	Perf
теряться	no	Imp
воспитывать	no	Imp
проектировать	no	Imp
отзываться	no	Perf
исполняться	no	Perf
приспосабливаться	no	Perf
нанимать	no	Perf
закрываться	no	Imp
сопрягать	yes	Perf
сбываться	yes	Perf
сочинять	no	Imp
велеть	yes	Imp
вытягивать	no	Perf
вешать	no	Perf
ослаблять	no	Perf
упираться	yes	Imp
сбивать	yes	Perf
списывать	yes	Perf
продаваться	yes	Imp
заболевать	yes	Perf
жертвовать	yes	Perf
сменяться	no	Perf
экспериментировать	yes	Imp
истекать	no	Perf
вспыхивать	no	Perf
устраиваться	yes	Perf
подтверждаться	no	Imp
присваивать	no	Perf
подталкивать	no	Imp
сдерживать	no	Imp
сливаться	no	Imp
успокаиваться	yes	Perf
отбрасывать	no	Perf
намечаться	yes	Perf
ухудшаться	no	Imp
обрекать	no	Perf
думаться	yes	Imp
благодарить	no	Imp
поселяться	yes	Perf
смягчать	no	Perf
дополнять	no	Perf
потрясать	yes	Perf
одевать	yes	Perf
привязывать	yes	Perf
потреблять	yes	Imp
взрывать	yes	Perf
вытаскивать	no	Perf
проваливаться	yes	Perf
замедляться	no	Imp
овладевать	yes	Perf
переезжать	yes	Perf
повреждать	yes	Perf
отслеживать	yes	Imp
поправлять	no	Perf
смущать	no	Imp
преподносить	no	Perf
унижать	no	Imp
красть	no	Perf
вскакивать	yes	Perf
запоминаться	no	Perf
застывать	yes	Perf
возлагать	no	Imp
похищать	yes	Perf
вырываться	yes	Perf
одерживать	yes	Perf
дешеветь	no	Perf
возобновлять	yes	Perf
хвалить	no	Imp
будить	no	Imp
оборудовать	no	Perf
прорабатывать	yes	Perf
устремляться	yes	Perf
затруднять	no	Imp
рушиться	yes	Perf
помирать	yes	Perf
направляться	yes	Perf
мобилизовать	no	Perf
зарождаться	yes	Perf
постигать	no	Perf
выкладывать	no	Perf
погружаться	no	Perf
впечатлять	yes	Imp
удалять	no	Perf
обобщать	no	Perf
освобождаться	yes	Perf
прижимать	no	Perf
замирать	no	Perf
заносить	no	Perf
прибавлять	no	Perf
почитать	yes	Imp
отделяться	no	Imp
включаться	no	Imp
попадаться	no	Imp
приговаривать	yes	Perf
обрушиваться	yes	Perf
предавать	yes	Perf
обучаться	yes	Imp
воплощать	no	Imp
срываться	no	Perf
поощрять	yes	Imp
загружать	no	Perf
раздаваться	no	Imp
прокладывать	yes	Perf
выделяться	no	Imp
пронизывать	no	Imp
оспаривать	no	Imp
приниматься	no	Perf
взлетать	no	Perf
усваивать	no	Perf
улавливать	no	Perf
проделывать	yes	Perf
сдаваться	no	Perf
пересказывать	no	Imp
оправдываться	no	Imp
цитировать	no	Imp
подсказывать	no	Imp
побуждать	no	Imp
беседовать	yes	Imp
перевешивать	no	Imp
прилетать	no	Perf
улетать	no	Perf
рвать	no	Imp
наставать	yes	Perf
растворяться	yes	Perf
пополнять	no	Perf
сниться	no	Imp
накрывать	yes	Perf
заражать	yes	Perf
приземляться	yes	Perf
набивать	no	Perf
декларировать	no	Imp
вычислять	no	Perf
оговаривать	no	Imp
погружать	yes	Perf
распределять	no	Perf
автоматизировать	yes	Perf
иллюстрировать	no	Imp
заимствовать	no	Perf
провожать	no	Imp
варить	yes	Imp
рожать	no	Imp
сдвигать	no	Perf
заряжать	yes	Perf
гасить	no	Perf
обижаться	no	Perf
эвакуировать	no	Perf
разбрасывать	yes	Perf
вставлять	no	Perf
отбывать	no	Perf
склоняться	yes	Imp
кидать	yes	Perf
затягивать	no	Perf
украшать	no	Perf
отрывать	no	Imp
залезать	no	Perf
оперировать	yes	Imp
присуждать	no	Perf
поздравлять	no	Imp
взрываться	no	Perf
заинтересовывать	yes	Perf
сносить	no	Perf
махать	yes	Imp
оскорблять	no	Perf
задевать	no	Perf
концентрироваться	yes	Imp
консолидировать	no	Perf
укрепляться	no	Imp
прислушиваться	no	Imp
понижать	yes	Perf
подкреплять	no	Perf
нажимать	no	Imp
отрезать	no	Perf
отключать	no	Perf
уводить	no	Perf
употреблять	yes	Imp
связываться	no	Perf
заверять	yes	Perf
кредитовать	yes	Imp
восполнять	no	Imp
подключать	no	Perf
охлаждать	no	Imp
регламентировать	no	Imp
доносить	yes	Perf
походить	no	Imp
опаздывать	no	Perf
гаснуть	no	Perf
раздражать	yes	Imp
обгонять	no	Perf
стареть	no	Imp
приближать	no	Perf
недооценивать	no	Imp
передвигаться	yes	Imp
корректировать	no	Imp
смиряться	yes	Perf
концентрировать	no	Perf
уговаривать	no	Imp
узаконивать	yes	Perf
спасаться	yes	Perf
балансировать	no	Perf
адресовать	no	Perf
отливать	yes	Imp
пресекать	no	Imp
откликаться	no	Perf
убегать	no	Imp
усугублять	no	Perf
поджигать	yes	Perf
преобразовывать	no	Perf
намереваться	yes	Imp
перемещаться	no	Imp
сгорать	yes	Perf
восстанавливаться	no	Imp
натыкаться	no	Perf
сопоставлять	no	Perf
ломаться	no	Perf
наследовать	yes	Perf
затрачивать	no	Imp
возмущаться	no	Imp
причинять	yes	Perf
надоедать	yes	Perf
обнимать	no	Imp
портить	no	Perf
